brandName,modelName,bodyStyleName,cylinderCapacityValue,enginePowerValue,mileageValue,accident,age,sellingPrice
Renault,Clio,Berline,1461,55,160000,0, 5.41 ,5450
Renault,Clio,Compacte,1461,50,81000,0, 9.33 ,4500
Volkswagen,Golf Plus,Compacte,1390,90,100000,0, 7.58 ,8999
Opel,Tigra,Cabriolet,1364,66,43000,0, 12.25 ,5999
Toyota,Land Cruiser,4x4,2982,120,77000,0, 12.75 ,17995
Peugeot,108,Compacte,998,51,8500,0, 1.66 ,10200
Citroen,C4 Aircross,Berline,1560,84,17810,0, 1.62 ,18860
Citroen,C4 Cactus,Berline,1560,73,16631,0, 1.16 ,13990
Suzuki,Swift,Berline,1249,51,145000,0, 11.08 ,4990
Toyota,RAV4,4x4,1998,91,92000,0, 4.08 ,18490
Opel,Insignia,Berline,1598,100,12500,0, 1.66 ,18695
Opel,Zafira,Monovolume/Camionnette,1686,81,85600,0, 7.83 ,8400
Opel,Astra,Berline,1686,81,100000,0, 4.08 ,8990
MINI,Cooper D,Berline,1560,80,82594,0, 9.16 ,8650
Peugeot,207,Berline,1560,80,106000,0, 10.59 ,4450
Mercedes-Benz,B 180,Monovolume/Camionnette,1992,80,74472,0, 9.16 ,9490
Volkswagen,CC,Berline,1968,110,20000,0, 1.41 ,29500
Audi,A3,Berline,1598,77,66500,0, 4.50 ,16990
Ford,Focus CC,Compacte,1997,100,160000,0, 7.33 ,8250
Nissan,X-Trail,4x4,1598,96,39561,0, 2.67 ,20495
Jeep,Renegade,Berline,1598,85,33000,0, 2.83 ,18990
Hyundai,ix20,Berline,1396,66,18298,0, 1.58 ,13450
Peugeot,RCZ,Coupe,1598,115,91699,0, 3.50 ,17990
Peugeot,208,Compacte,1398,50,101000,0, 3.16 ,6950
Volkswagen,Beetle,Berline,1197,77,53000,0, 5.75 ,11990
Nissan,Note,Break,1461,66,27422,0, 4.61 ,7900
Opel,Astra,Berline,1686,81,59187,0, 3.74 ,10890
Volvo,V60,Break,1969,180,26000,0, 1.58 ,29990
Toyota,Auris,Berline,1329,73,5100,0, 1.66 ,14800
Volkswagen,Golf,Berline,1598,77,107000,0, 7.25 ,8490
Nissan,Qashqai,4x4,1461,81,86742,0, 3.74 ,14999
Volkswagen,Cross polo,Berline,1598,75,102000,0, 7.38 ,7900
Ford,Fiesta,Berline,1560,70,128000,0, 5.83 ,6990
Ford,Fiesta,Berline,1398,50,71000,0, 7.25 ,7725
Volvo,V60,Break,1969,110,4000,0, 1.08 ,25950
BMW,318 Limousine,Berline,1995,110,29900,0, 1.66 ,30995
Renault,Twingo,Berline,1149,55,25000,0, 3.33 ,6500
Seat,Alhambra,Monovolume/Camionnette,1968,110,36696,0, 1.83 ,27500
Volkswagen,Polo,Berline,1598,66,95695,0, 6.83 ,9950
Ford,Focus,Break,1560,85,54700,0, 3.74 ,11990
Hyundai,ix35,4x4,1591,99,31000,0, 3.83 ,15500
Volvo,XC90,4x4,1969,140,23000,0, 0.91 ,61400
Peugeot,308,Berline,1560,66,206147,0, 9.16 ,2950
Opel,Zafira Tourer,Monovolume/Camionnette,1364,88,9372,0, 0.99 ,19733
Subaru,Justy,Berline,998,51,59102,0, 8.95 ,4806
Volkswagen,Golf,Break,1598,77,111165,0, 5.75 ,9990
Mercedes-Benz,E 200,Berline,1950,100,25300,0, 0.99 ,36990
Toyota,Yaris,Berline,1364,66,80000,0, 5.16 ,7990
Toyota,Yaris,Berline,998,51,138617,0, 9.50 ,4000
Jaguar,F-Type,Coupe,2995,280,18715,0, 1.41 ,67880
Renault,Laguna,Berline,1461,81,93760,0, 3.41 ,10950
Mercedes-Benz,CLA 200,Berline,1796,100,31000,0, 2.25 ,23450
Renault,Grand Scenic,Monovolume/Camionnette,1598,96,71704,0, 5.41 ,9990
Audi,A6 Allroad,Break,2967,200,62685,0, 1.83 ,54450
Peugeot,2008,4x4,1199,81,11260,0, 1.39 ,15900
Peugeot,308 SW,Break,1560,85,2200,0, 0.17 ,18800
Opel,Zafira Tourer,Monovolume/Camionnette,1598,100,17900,0, 1.83 ,22499
Peugeot,2008,4x4,1560,55,7507,0, 1.34 ,15480
Seat,Cordoba,Berline,1896,81,235000,0, 15.09 ,2500
Peugeot,206,Compacte,1360,55,44879,0, 7.25 ,5900
Nissan,Micra,Cabriolet,1386,65,130000,0, 11.25 ,3950
Audi,A4,Break,1896,85,160000,0, 12.50 ,6200
Ford,Fiesta,Berline,1560,66,109000,0, 6.83 ,6800
Fiat,500,Compacte,1248,70,76000,0, 4.33 ,8900
BMW,116 5-TÍ_rer,Berline,1499,80,24992,0, 1.99 ,19490
Opel,Astra,Break,1400,110,9000,0, 0.74 ,20500
Audi,A1,Compacte,1422,66,30000,0, 1.91 ,17980
Volvo,XC90,4x4,1969,165,28000,0, 0.91 ,59990
Peugeot,5008,Monovolume/Camionnette,1560,88,45000,1, 1.74 ,17200
Seat,Ibiza,Berline,1198,44,30000,0, 2.50 ,7749
Peugeot,308,Compacte,1199,96,19900,0, 2.58 ,18999
Volvo,S60,Berline,1969,88,18000,0, 0.89 ,22495
Volkswagen,Golf,Berline,1968,110,4000,0, 0.16 ,24500
Mercedes-Benz,A 180,Berline,1461,80,8287,0, 1.16 ,24850
BMW,X6,4x4,2993,190,9000,0, 1.24 ,56999
Volkswagen,Passat,Berline,1598,77,59998,0, 4.33 ,15750
Peugeot,208,Compacte,1199,60,40000,0, 4.16 ,9990
Ford,Focus,Compacte,1560,66,142527,0, 10.42 ,3499
BMW,316 Limousine,Berline,1995,85,120000,0, 4.16 ,15990
BMW,116 5-TÍ_rer,Compacte,1499,86,41942,0, 2.25 ,18495
BMW,X3,4x4,2993,190,31451,0, 2.25 ,46900
Audi,Q5,4x4,1968,100,127901,0, 4.25 ,19950
Land Rover,Defender,4x4,2401,90,103000,0, 10.08 ,28900
Peugeot,Partner Tepee,Monovolume/Camionnette,1560,66,105000,0, 8.00 ,6950
Volkswagen,Multivan T6 Dsl,Monovolume/Camionnette,1968,110,20000,0, 0.33 ,37900
Opel,Mokka,Berline,1686,96,66000,0, 2.74 ,14990
Peugeot,207,Compacte,1360,54,88065,0, 4.36 ,6990
Fiat,500C,Cabriolet,1242,51,2000,0, 1.83 ,12990
Skoda,Octavia,Berline,1197,63,99000,0, 4.41 ,8950
MINI,One D,Berline,1500,69,4000,0, 1.33 ,19900
Audi,A3,Berline,1598,77,75000,0, 4.25 ,14999
BMW,520 Touring,Break,1995,110,100000,0, 9.75 ,10990
Opel,Corsa,Compacte,1248,70,21539,0, 1.01 ,10749
Peugeot,3008,Compacte,1560,84,61037,0, 3.58 ,14990
Peugeot,508,Berline,1560,85,19150,0, 2.33 ,18150
Mercedes-Benz,AMG GT,Coupe,3982,340,14000,0, 1.58 ,95000
Volkswagen,Golf VII,Berline,999,81,10000,0, 0.33 ,23850
Mercedes-Benz,GLK 220,4x4,2143,120,48489,0, 5.75 ,22950
Ford,Kuga,4x4,1997,100,124000,0, 6.25 ,11500
BMW,525 Limousine,Berline,2497,120,230000,0, 12.83 ,5999
Land Rover,Freelander,4x4,2179,118,135787,0, 7.88 ,9250
Peugeot,Partner,Monovolume/Camionnette,1600,1,211000,0, 9.42 ,3800
Skoda,Superb,Break,1598,88,8692,0, 1.16 ,25600
Triumph,Sonstige,Cabriolet,1991,70,34020,0, 63.87 ,32995
Peugeot,5008,Monovolume/Camionnette,1560,84,35000,0, 3.48 ,15500
Opel,Astra,Berline,999,77,15474,0, 1.83 ,14899
Toyota,Hilux,4x4,2393,108,101,0, 0.08 ,29645
Toyota,Corolla,Compacte,1995,66,121370,0, 15.42 ,3799
Audi,A6,Break,1968,100,149000,0, 3.99 ,17250
Suzuki,SX4 S-Cross,4x4,1373,103,5000,0, 0.24 ,22250
Volkswagen,Golf Sportsvan,Monovolume/Camionnette,1598,81,27000,0, 1.58 ,18490
Porsche,Boxster,Cabriolet,1988,220,6200,0, 1.33 ,59900
Renault,Kadjar,Monovolume/Camionnette,1461,81,34000,0, 2.33 ,16990
Audi,Q2,4x4,1598,85,9704,0, 0.99 ,31900
Opel,Z4,Monovolume/Camionnette,1598,74,123561,0, 14.34 ,2750
Renault,Master,Van,2300,92,209000,0, 4.08 ,8500
Volvo,V40,Break,1969,88,12390,0, 1.41 ,18450
Ford,Kuga,4x4,1997,100,63000,0, 3.33 ,19825
Mercedes-Benz,GLA 180,4x4,1595,90,27000,0, 1.16 ,27250
Audi,A5,Coupe,2698,140,135000,0, 9.33 ,15999
Volkswagen,up!,Berline,999,44,30000,0, 2.08 ,9499
Citroen,C4 Picasso,Monovolume/Camionnette,1560,82,91000,0, 5.41 ,8950
Audi,Q7,4x4,2967,192,1805,0, 0.33 ,94994
Toyota,Corolla Verso,Monovolume/Camionnette,1598,81,145000,0, 13.84 ,3250
Volvo,XC60,4x4,2400,120,69000,0, 4.58 ,25900
Dacia,Duster,4x4,1598,77,73000,0, 3.91 ,8500
Nissan,Micra,Compacte,1198,59,51000,0, 5.83 ,5900
Hyundai,ix35,4x4,1685,85,123000,0, 4.25 ,13500
Audi,A4,Break,1968,110,42714,0, 1.99 ,28890
Audi,Q2,4x4,1598,85,12000,0, 0.99 ,28900
Mercedes-Benz,E 220,Break,2143,125,10423,0, 1.50 ,38750
BMW,116 5-TÍ_rer,Berline,1995,85,143000,0, 6.50 ,8450
Volkswagen,Passat Variant,Break,1598,88,54000,0, 2.67 ,18990
Volkswagen,Beetle,Berline,1968,103,27500,0, 2.91 ,16990
Renault,Scenic,Monovolume/Camionnette,1870,85,145000,0, 10.50 ,4990
Opel,Astra,Berline,1598,81,5000,0, 0.91 ,17250
Volkswagen,Polo,Berline,1422,66,19026,0, 2.41 ,13250
Mercedes-Benz,Polo,Coupe,2143,150,7000,0, 0.74 ,69950
Opel,Astra Sports Tourer,Break,1598,100,11520,0, 3.25 ,16999
Skoda,Octavia,Berline,1598,85,5000,0, 0.16 ,21950
Mercedes-Benz,Sonstige,Van,5675,92,100000,0, 39.69 ,22500
BMW,X5,4x4,2993,155,216000,0, 10.25 ,18900
Audi,A2,Monovolume/Camionnette,1390,55,137000,0, 15.84 ,3990
Volkswagen,Golf Plus,Monovolume/Camionnette,1598,77,150000,0, 6.16 ,7950
Toyota,Verso S,Monovolume/Camionnette,1329,73,52722,0, 6.00 ,9300
Mercedes-Benz,C 200,Break,1598,100,33100,0, 2.16 ,29900
Toyota,Aygo,Berline,998,50,126797,0, 10.50 ,4200
Alfa Romeo,MiTo,Berline,1248,62,74489,0, 5.75 ,6990
Volkswagen,Golf GTE,Berline,1395,110,15000,0, 0.58 ,33995
BMW,118 5-TÍ_rer,Berline,1995,100,79000,0, 8.33 ,9450
Hyundai,i20,Berline,1396,66,110000,0, 6.08 ,4950
Citroen,Berlingo,Monovolume/Camionnette,1598,88,49500,0, 4.50 ,12900
Seat,Leon,Berline,1598,77,65000,0, 2.74 ,13490
Skoda,Rapid,Berline,1598,77,55410,0, 3.58 ,13850
Mitsubishi,Outlander,4x4,1968,103,108050,0, 8.16 ,7800
Peugeot,2008,4x4,1199,81,3300,0, 1.00 ,15450
Opel,Astra,Berline,1364,110,21827,0, 1.74 ,17500
Audi,Q5,4x4,1968,100,92947,0, 3.67 ,25950
Mitsubishi,L200,4x4,2400,133,800,0, 0.33 ,31900
MINI,Cooper Cabrio,Cabriolet,1598,85,179000,0, 12.59 ,4250
Mitsubishi,Colt,Berline,1124,55,36333,0, 6.16 ,6490
Mazda,CX-5,4x4,2184,110,124417,0, 4.50 ,14400
Ford,B-MAX,Berline,998,92,46000,0, 4.25 ,10850
Porsche,911,Cabriolet,3436,257,29000,0, 3.08 ,89999
Mercedes-Benz,B 180,Berline,1595,90,11096,0, 1.58 ,26900
Peugeot,2008,4x4,1560,55,10000,0, 1.58 ,14989
Opel,Astra Sports Tourer,Break,1399,92,9544,0, 1.08 ,17850
Volvo,XC60,4x4,1984,120,144399,0, 5.83 ,17450
BMW,316 Limousine,Berline,1995,85,40317,0, 3.74 ,23500
Volvo,V50,Break,1998,100,265000,0, 13.17 ,2600
Audi,A4,Break,1968,105,99900,0, 4.50 ,17990
Opel,Astra,Berline,1598,81,26353,0, 2.08 ,18999
Citroen,C3,Compacte,1200,60,7800,0, 0.41 ,12895
Volkswagen,Polo,Berline,1598,55,134427,0, 7.83 ,6500
Volvo,V40,Berline,1969,88,47000,0, 2.33 ,18995
MG,B Roadster Red '67,Cabriolet,1798,69,83100,0, 50.86 ,22950
Volvo,S60,Berline,1560,84,124529,0, 4.67 ,12800
Nissan,Note,Monovolume/Camionnette,1198,59,15874,0, 1.74 ,9380
Opel,Insignia,Break,1956,103,77560,0, 3.08 ,16690
Opel,Mokka,Berline,1598,100,5000,0, 0.66 ,23750
Opel,Astra,Compacte,1686,81,81000,0, 5.61 ,10500
Toyota,Auris,Break,1364,66,30620,0, 1.66 ,15750
Volkswagen,Crafter,Van,1968,100,44900,0, 3.16 ,24990
Porsche,912,Coupe,1600,66,49500,0, 49.86 ,45000
Volkswagen,Golf,Break,1598,85,22500,0, 0.74 ,25799
Citroen,C-Crosser,4x4,2179,115,160000,0, 9.33 ,9500
Volkswagen,Golf,Berline,1598,77,116000,0, 6.33 ,10500
Mercedes-Benz,C 200,Break,1598,100,82865,0, 2.79 ,15350
DS,DS 4,Berline,1560,85,333,0, 0.73 ,21570
Audi,RS6,Break,3993,412,97415,0, 3.74 ,69950
Renault,Clio Grandtour,Break,898,66,30000,0, 2.91 ,11500
Volkswagen,Golf VI,Berline,1390,90,103000,0, 8.50 ,9490
Volvo,V40,Berline,1560,84,45521,0, 2.74 ,16499
Volvo,V50,Break,1560,84,181000,0, 7.42 ,5000
Mitsubishi,Outlander,4x4,2268,103,80000,0, 6.42 ,12900
Peugeot,308 SW,Break,1560,85,40500,0, 3.16 ,14450
Peugeot,508,Berline,1598,121,13863,0, 1.66 ,18990
Opel,Corsa,Berline,1229,63,57000,0, 3.58 ,8995
Mercedes-Benz,C 200,Berline,1796,135,92000,0, 4.83 ,19990
Toyota,Auris,Break,1364,66,48350,0, 1.99 ,13995
Audi,A1,Berline,1197,63,38000,0, 6.83 ,11500
Volkswagen,Passat Variant,Break,1598,77,115754,0, 4.88 ,13990
Mercedes-Benz,200,Coupe,1998,100,166936,0, 20.17 ,3950
Citroen,C4,Berline,1560,85,19232,0, 2.08 ,15999
Kia,Sportage,4x4,1685,85,52778,0, 5.83 ,13250
Kia,Sportage,4x4,1685,85,10000,0, 0.66 ,27999
Ford,S-Max,Monovolume/Camionnette,1997,110,19900,0, 0.99 ,27695
Audi,A1,Berline,1598,77,156000,0, 6.33 ,8999
Opel,Corsa C,Berline,1229,52,16058,0, 1.08 ,9950
Opel,Astra,Berline,1686,59,158000,0, 13.08 ,3850
Opel,ADAM SLAM,Compacte,1000,85,16500,0, 1.74 ,12500
Skoda,Superb,Break,1598,88,17000,0, 0.74 ,26900
Dacia,Logan,Berline,1149,55,28600,0, 2.74 ,5999
Volkswagen,Golf GTI,Berline,1984,169,37500,0, 2.67 ,27858
Volkswagen,Passat Variant,Break,1896,77,120000,0, 11.34 ,6000
Ford,Kuga,4x4,1997,100,55000,0, 2.91 ,18900
Peugeot,508 SW,Break,1560,85,10221,0, 1.22 ,20990
Renault,Laguna,Berline,1900,81,129000,0, 12.08 ,2950
Opel,Antara,4x4,1991,93,113600,0, 7.75 ,9950
Volkswagen,Caddy,Monovolume/Camionnette,1968,75,40000,0, 1.41 ,21000
Citroen,C4 Picasso,Monovolume/Camionnette,1560,82,55600,0, 5.08 ,10000
Audi,Q5,4x4,1968,120,115000,0, 7.58 ,17950
Mercedes-Benz,C 180,Berline,1595,115,7120,0, 2.36 ,33250
BMW,X5,4x4,2993,155,87000,0, 6.83 ,27900
Citroen,C4,Berline,1397,70,41000,0, 4.50 ,8250
Volkswagen,Golf VI,Compacte,1598,77,87219,0, 7.20 ,9700
Peugeot,2008,4x4,1560,74,46800,0, 1.72 ,15950
Mercedes-Benz,E 220,Coupe,2143,120,99000,0, 6.83 ,16450
Citroen,C5,Break,1560,81,116000,0, 6.61 ,11950
Peugeot,308 SW,Break,1560,85,22104,0, 1.60 ,21200
BMW,X5,4x4,2993,230,65900,0, 3.74 ,54000
Citroen,C3,Cabriolet,1398,50,112000,0, 9.33 ,5450
BMW,330 Touring,Break,2993,190,99000,0, 4.25 ,26500
Mercedes-Benz,ML 320,4x4,2987,155,139897,0, 10.34 ,12950
Hyundai,i20,Compacte,1120,55,51760,0, 4.37 ,7900
Audi,A3,Berline,1598,77,68000,0, 3.99 ,16990
Nissan,Juke,4x4,1461,81,54000,0, 3.74 ,11995
Peugeot,Expert,Monovolume/Camionnette,2000,95,170000,0, 5.04 ,8950
Audi,A4,Break,1968,110,17334,0, 1.66 ,30499
Volvo,C30,Berline,1997,100,110000,0, 9.83 ,5299
BMW,520 Limousine,Berline,1995,140,4300,0, 0.50 ,52990
Lexus,RX 450h,4x4,3456,183,100000,0, 3.67 ,29990
Mercedes-Benz,C 220,Berline,2143,120,96323,0, 3.08 ,26000
Audi,A3,Break,1598,81,26156,0, 1.33 ,18990
NG,DS31.2 PureTech 82 SoChic (Euro6),Compacte,1199,60,15000,0, 2.08 ,12900
BMW,118 3-TÍ_rer,Berline,1995,100,190000,0, 9.67 ,6200
Volkswagen,Golf,Compacte,1781,66,169288,0, 21.22 ,2600
Nissan,Juke,4x4,1618,147,46000,0, 4.16 ,15900
Opel,ADAM,Compacte,1229,51,26000,0, 2.50 ,9549
Renault,Kangoo,Monovolume/Camionnette,1461,66,60880,0, 4.33 ,11500
Audi,A3,Berline,1395,92,27000,0, 2.50 ,21450
BMW,520 Limousine,Berline,1995,120,103968,0, 4.16 ,20900
Volkswagen,up!,Berline,999,44,7000,0, 0.99 ,10899
Audi,Q2,4x4,1395,110,15000,0, 0.66 ,31900
Volkswagen,Tiguan,4x4,1968,100,91978,0, 8.00 ,13990
Opel,Zafira,Monovolume/Camionnette,1600,98,30000,0, 1.16 ,19250
Peugeot,NEW 308 GTI BITON,Compacte,1598,199,1000,0, 0.09 ,32500
Fiat,500,Berline,1248,70,68035,0, 6.25 ,7750
Volvo,V40,Berline,1969,88,14000,0, 1.08 ,18990
BMW,118 5-TÍ_rer,Berline,1995,100,130000,0, 8.50 ,10000
Mitsubishi,Colt,Berline,1124,55,119000,0, 6.16 ,4950
Opel,Zafira,Monovolume/Camionnette,1910,88,131713,0, 10.67 ,5200
Mercedes-Benz,GLA 180,Compacte,1595,90,8689,0, 1.16 ,27750
Mercedes-Benz,C 200,Berline,2143,100,55000,0, 5.75 ,21685
Volkswagen,Passat Variant,Break,1968,110,49800,0, 2.74 ,22990
Audi,A5,Coupe,1968,130,47091,0, 5.25 ,22990
Opel,ADAM,Compacte,999,66,5000,0, 0.16 ,14350
Porsche,997,Coupe,3797,320,68735,0, 8.42 ,104950
Audi,Q5,4x4,1968,100,124000,0, 4.67 ,24950
Opel,Mokka,4x4,1364,103,13966,0, 1.58 ,17490
Toyota,Corolla Verso,Monovolume/Camionnette,2231,100,114244,0, 9.75 ,8890
Volkswagen,Caddy,Monovolume/Camionnette,1598,75,98905,0, 3.16 ,13250
Sonstige,Gillet,Coupe,2400,184,3500,0, 0.82 ,188000
Kia,Venga,Berline,1396,66,36000,0, 3.41 ,10750
Toyota,Avensis,Berline,1998,93,77000,0, 6.00 ,12750
Audi,A4,Break,1968,100,80000,0, 6.08 ,16000
Opel,ADAM JAM,Compacte,1229,51,52700,0, 3.99 ,8799
Volkswagen,Golf,Berline,1598,77,110000,0, 7.33 ,2697
BMW,X3,4x4,1995,105,89000,0, 4.67 ,18990
Peugeot,308 SW,Break,1997,110,29524,0, 2.18 ,19750
Ford,Galaxy,Monovolume/Camionnette,1997,132,36000,0, 1.24 ,31785
BMW,116 5-TÍ_rer,Compacte,1496,85,22013,0, 1.16 ,19900
Citroen,DS3,Compacte,1398,51,11615,0, 2.41 ,10990
Peugeot,206 CC,Cabriolet,1587,80,219000,0, 15.34 ,3250
Skoda,Superb,Break,1598,77,69849,0, 3.83 ,15900
Audi,Q7,4x4,2967,200,18500,0, 0.74 ,74900
Nissan,Juke,Compacte,1461,81,70252,0, 2.75 ,12980
Volvo,V60,Break,1984,120,76000,0, 6.67 ,16900
Citroen,Jumper,Van,2999,130,4138,0, 3.74 ,59900
Nissan,NV200,Monovolume/Camionnette,1461,63,131040,0, 7.14 ,8700
Suzuki,Alto,Berline,1061,46,95000,0, 13.42 ,2650
Porsche,911,Coupe,3800,390,23467,0, 6.83 ,124950
Opel,Zafira Tourer,Monovolume/Camionnette,1956,96,93000,0, 3.67 ,13750
BMW,1er M Coupe,Coupe,2979,250,78000,0, 5.83 ,47900
Citroen,Berlingo,Monovolume/Camionnette,1560,55,73400,0, 7.58 ,6950
Peugeot,5008,Monovolume/Camionnette,1560,84,54100,0, 3.20 ,14990
Porsche,964,Berline,3600,180,113210,0, 27.01 ,52500
MINI,One,Berline,1598,55,37188,0, 4.74 ,13490
Citroen,Berlingo,Monovolume/Camionnette,1560,73,32581,0, 2.16 ,12500
Citroen,C4 Aircross,4x4,1560,85,85208,0, 4.58 ,13800
Jaguar,XJSC,Cabriolet,5300,195,66000,0, 27.52 ,22850
Mercedes-Benz,GLA 250,Berline,1991,155,39155,0, 3.16 ,29990
Volkswagen,Touran,Monovolume/Camionnette,1390,110,46500,0, 3.83 ,17990
Honda,Civic,Berline,2199,110,100000,0, 5.58 ,11500
Renault,Clio,Berline,1461,55,75261,0, 3.65 ,9280
Kia,Sportage,4x4,1685,85,72000,0, 3.58 ,14600
Mercedes-Benz,CLA 200,Break,2143,100,6300,0, 0.33 ,37900
Audi,A6,Berline,1968,130,43610,0, 5.41 ,25990
Volvo,V50,Berline,1997,100,218000,0, 11.83 ,3990
Volkswagen,Touran,Monovolume/Camionnette,1598,77,149000,0, 4.25 ,9490
Honda,Civic,Berline,1498,134,2500,0, 0.08 ,28799
Seat,Cordoba,Berline,1422,59,96791,0, 9.83 ,6500
Volkswagen,Jetta,Berline,1896,77,210000,0, 8.33 ,5000
Peugeot,508,Berline,2179,150,107836,0, 5.67 ,11000
Porsche,944,Coupe,2500,117,4800,0, 35.44 ,24944
Opel,Combo,Monovolume/Camionnette,1590,66,42500,0, 2.58 ,13749
Mercedes-Benz,C 200,Break,2143,100,63800,0, 5.83 ,14900
Sonstige,Sonstige,Berline,2600,1,80000,0, 87.22 ,39900
Toyota,RAV4,4x4,2494,114,22000,0, 1.16 ,30950
Volvo,S60,Berline,1560,84,138878,0, 3.99 ,12950
Mercedes-Benz,GLC 220,Coupe,2143,125,24000,0, 0.74 ,49950
BMW,5 SW Dsl (F11),Break,1995,135,103200,0, 5.92 ,20990
Audi,A1,Berline,1598,66,76300,0, 3.58 ,12700
Volkswagen,CC,Berline,1968,110,22500,0, 1.91 ,30590
Volkswagen,Passat Variant,Break,1598,77,96000,0, 4.01 ,11750
Renault,Trafic,Van,2000,66,112980,0, 7.50 ,8000
Seat,Leon,Berline,1390,92,108000,0, 7.67 ,7899
Dacia,Duster,4x4,1461,81,75200,0, 6.25 ,9990
Volkswagen,Golf Cabriolet,Cabriolet,1198,77,87000,0, 5.41 ,12990
Volvo,S40,Berline,1560,80,100549,0, 8.58 ,9950
Peugeot,508,Break,1560,84,85447,0, 5.25 ,12800
Mercedes-Benz,C 300,Berline,2143,150,19715,0, 1.58 ,49400
Skoda,Octavia,Break,1598,77,93000,0, 6.42 ,9999
MINI,Cooper D,Berline,1598,82,92200,0, 5.92 ,8975
MINI,One D,Compacte,1598,66,92600,0, 6.25 ,8990
Volkswagen,Passat Variant,Break,1390,110,38400,0, 3.99 ,17490
Audi,Q5,4x4,1968,125,133000,0, 8.50 ,17787
Peugeot,2008,4x4,1560,74,12108,0, 1.24 ,16490
Audi,A3,Compacte,1598,81,25843,0, 1.24 ,24999
Audi,A3,Berline,1968,110,92000,0, 3.74 ,17500
Peugeot,208,Compacte,1560,74,12399,0, 1.79 ,14900
Renault,Clio,Berline,1197,87,4025,0, 2.16 ,12990
Audi,A7,Berline,2967,150,177000,0, 4.83 ,23999
Hyundai,i20,Berline,1396,66,112000,0, 5.25 ,5490
Peugeot,208,Compacte,1560,74,14700,0, 1.50 ,11900
Citroen,C4 Cactus,Berline,1199,60,3000,0, 0.41 ,15490
Ford,Kuga,4x4,1997,100,42500,0, 5.08 ,15250
Audi,A4,Break,1968,100,92769,0, 5.08 ,17900
Citroen,Nemo,Monovolume/Camionnette,1360,54,37000,0, 5.83 ,5950
Volkswagen,Golf,Break,1598,77,39600,0, 3.41 ,15950
BMW,320 Touring,Break,1995,135,34000,0, 4.83 ,22900
SsangYong,Rexton,4x4,2157,131,21000,0, 0.74 ,28750
Opel,Vivaro,Van,1995,84,246000,0, 6.42 ,7400
Renault,Scenic,Monovolume/Camionnette,1461,78,83000,0, 7.33 ,7495
Opel,Meriva,Monovolume/Camionnette,1398,74,12850,0, 2.41 ,14450
Ford,Kuga,4x4,1997,100,58725,0, 4.67 ,16990
Peugeot,308,Compacte,1560,68,62800,0, 2.68 ,9450
Mercedes-Benz,SL 500,Cabriolet,4973,240,146500,0, 26.76 ,21900
BMW,X5 M,4x4,2993,155,139000,0, 5.58 ,24995
Porsche,Panamera,Berline,2894,340,6500,0, 0.33 ,136429
Citroen,C3,Berline,1560,73,14848,0, 0.82 ,15990
Mercedes-Benz,Sprinter,Van,2143,96,115000,0, 5.50 ,16000
Seat,Ibiza,Berline,999,55,1000,0, 0.16 ,12890
Renault,Kangoo,Van,1500,55,110000,0, 4.88 ,4695
Volkswagen,Passat,Break,1598,77,111142,0, 3.76 ,13490
Volvo,V40,Break,1969,88,14000,0, 1.04 ,20895
Volkswagen,Scirocco,Coupe,1968,103,99000,0, 8.08 ,7999
Audi,A1,Berline,1422,66,25000,0, 2.25 ,17900
Renault,Clio,Berline,1461,65,215000,0, 5.75 ,3720
Toyota,iQ,Compacte,998,50,100299,0, 6.42 ,5999
Citroen,C4 Picasso,Monovolume/Camionnette,1560,82,125000,0, 6.11 ,7750
Renault,Twingo,Berline,1149,43,98000,0, 15.84 ,2500
Peugeot,Partner,Monovolume/Camionnette,1560,55,69000,0, 5.83 ,7999
Ford,Fiesta,Compacte,1596,134,36800,0, 4.50 ,14900
Opel,Vectra,Berline,2792,169,42000,0, 11.59 ,10000
Ford,Grand C-MAX,Monovolume/Camionnette,998,92,39000,0, 2.08 ,14800
Ford,C-MAX,Monovolume/Camionnette,1560,67,174230,0, 9.08 ,3650
Ford,Mondeo,Berline,2179,129,109764,0, 8.67 ,9950
Dacia,Sandero,Berline,1461,55,117215,0, 6.00 ,4490
Volkswagen,New Beetle,Cabriolet,1896,74,164000,0, 12.17 ,8500
Jaguar,XF,Berline,2720,152,179000,0, 9.67 ,9999
BMW,X5,4x4,2993,135,175000,0, 14.25 ,6990
Peugeot,308,Compacte,1560,68,93825,0, 4.46 ,6866
Ford,Focus,Break,1560,85,99000,0, 6.25 ,7950
Ford,Galaxy,Monovolume/Camionnette,1560,85,67900,0, 5.08 ,17295
Ford,Focus,Berline,1560,70,79000,0, 5.67 ,8990
Citroen,Berlingo,Van,1598,66,78900,0, 6.00 ,7990
Volkswagen,Golf Plus,Monovolume/Camionnette,1595,77,73700,0, 8.00 ,9950
BMW,X1,4x4,1496,85,39980,0, 1.08 ,25850
Mercedes-Benz,C 180,Berline,1595,115,8500,0, 1.08 ,30300
Peugeot,2008,4x4,1560,73,14800,0, 0.82 ,17800
Audi,A7,Berline,2967,150,140000,0, 5.67 ,31990
Peugeot,207 SW,Break,1560,68,115000,0, 4.33 ,5250
Dacia,Sandero,Berline,898,66,96000,0, 3.58 ,6490
Opel,Corsa,Berline,1248,70,14896,0, 1.08 ,12299
