brandName,modelName,bodyStyleName,cylinderCapacityValue,enginePowerValue,mileageValue,accident,age,sellingPrice
Toyota,Yaris,Berline,1364,66,67000,0, 2.99 ,10500
Fiat,500,Compacte,1242,51,3658,0, 2.16 ,10500
Seat,Mii,Berline,999,44,38900,0, 4.16 ,6500
BMW,1 HATCH DIESEL - 2014,Compacte,1995,85,76959,0, 3.50 ,20000
Volkswagen,Touran,Monovolume/Camionnette,1598,77,226000,0, 6.50 ,6450
Ford,Focus,Berline,1560,66,19615,0, 8.83 ,6999
Audi,i10,Berline,1896,77,182728,0, 9.58 ,5599
Volkswagen,Golf Cabriolet,Cabriolet,1198,77,47905,0, 5.41 ,15490
Audi,A5,Cabriolet,1968,120,115000,0, 6.16 ,16450
Volkswagen,Golf,Break,1598,81,25115,0, 0.82 ,16990
Audi,A3,Berline,1598,81,25000,0, 1.24 ,22900
Mercedes-Benz,E 200,Berline,2148,100,118000,0, 8.25 ,14999
Volkswagen,Passat,Berline,1598,77,144000,0, 6.58 ,11500
BMW,525 Touring,Break,1995,155,120000,0, 4.74 ,26500
Audi,A4,Berline,1968,88,85617,0, 3.74 ,19360
Audi,A3,Berline,1598,77,67545,0, 3.83 ,16690
Renault,Kangoo,Van,1461,50,62000,0, 7.25 ,4250
Citroen,C4,Coupe,1360,66,99000,0, 11.00 ,4090
Opel,Corsa,Berline,1229,51,24895,0, 1.24 ,9699
Toyota,Aygo,Berline,998,50,72911,0, 10.42 ,4250
Porsche,Panamera,Berline,4806,294,138000,0, 7.83 ,36900
Peugeot,PARTNER DIESEL,Van,1560,73,5000,0, 0.08 ,12900
Volkswagen,Touran,Monovolume/Camionnette,1896,77,219000,0, 11.34 ,3990
BMW,730 Limousine,Berline,2993,155,217000,0, 10.34 ,9850
Volkswagen,Tiguan,4x4,1968,81,82734,0, 6.83 ,14500
Audi,A4 Allroad,Break,1968,140,5500,0, 0.24 ,49900
Hyundai,Matrix,Monovolume/Camionnette,1493,81,200000,0, 10.59 ,2500
Kia,Niro,Berline,1598,77,5000,0, 0.82 ,25499
Peugeot,5008,4x4,1560,85,6200,0, 0.33 ,28990
Land Rover,Freelander,4x4,2179,110,173000,0, 9.25 ,10499
Volkswagen,Golf,Berline,1598,77,69933,0, 4.67 ,15400
Audi,A3,Berline,1197,81,30700,0, 1.33 ,18495
Nissan,Juke,4x4,1461,81,68873,0, 2.58 ,11249
Citroen,Grand C4 Picasso,Monovolume/Camionnette,1560,80,154000,0, 10.75 ,5999
Renault,Laguna,Berline,1998,99,98000,0, 12.42 ,2495
Ford,Transit,Monovolume/Camionnette,2200,92,145000,0, 4.86 ,11500
Mercedes-Benz,SLS AMG,Cabriolet,6208,420,21000,0, 6.08 ,250000
Porsche,911,Coupe,3800,368,146000,0, 7.67 ,74500
Opel,Corsa,Berline,1229,63,92000,0, 6.75 ,5200
Volkswagen,AMAROK DOUBLE CAB DSL,Van,1968,132,126000,0, 2.16 ,25900
Volkswagen,Tiguan,4x4,1968,100,117236,0, 9.42 ,12420
Opel,Insignia,Berline,1598,100,25838,0, 1.50 ,18791
Audi,A4,Break,1968,100,140000,0, 9.42 ,10300
Citroen,Berlingo,Monovolume/Camionnette,1560,55,85000,0, 3.58 ,8800
Volkswagen,Polo,Berline,1598,55,139000,0, 7.83 ,6050
Opel,Corsa C,Compacte,1248,70,75000,0, 5.58 ,6999
BMW,520 Limousine,Berline,1995,135,192715,0, 4.33 ,17500
Toyota,iQ,Berline,1364,66,52161,0, 7.42 ,6950
Opel,Mokka,4x4,1598,85,8400,0, 0.82 ,17995
Jaguar,XJSC,Cabriolet,5343,195,97100,0, 28.35 ,21450
Volkswagen,Polo,Berline,1199,55,145000,0, 6.92 ,5495
Renault,Master,Van,2300,74,90000,0, 4.83 ,11650
Volkswagen,Golf,Berline,1598,85,5000,0, 0.50 ,22390
Volkswagen,Golf,Berline,1598,85,3000,0, 0.24 ,20998
Volkswagen,Jetta,Berline,1896,77,231713,0, 8.33 ,5000
Volkswagen,Golf,Berline,1968,110,43843,0, 1.83 ,21250
MINI,Cooper D Countryman,Break,1598,82,98500,0, 5.58 ,13990
Opel,Zafira,Monovolume/Camionnette,1995,74,137000,0, 14.25 ,3650
Renault,Clio,Berline,1461,65,18200,0, 5.67 ,11900
Hyundai,i30,Berline,1396,73,42519,0, 3.83 ,12450
Volvo,V70,Break,1997,100,165000,0, 8.58 ,8500
