knew,117
hard,117
jul,117
question,117
person,116
iv,116
sin,116
kill,116
base,115
bosom,115
truly,115
strike,115
elizabeth,114
took,114
stands,114
deed,114
countess,113
twenty,113
become,112
posthumus,112
thersites,112
country,112
black,112
deep,112
point,112
apemantus,112
pass,112
tranio,111
already,111
water,111
voice,111
drink,111
sister,111
t,111
twas,111
ready,110
four,110
needs,110
hark,110
presently,109
wars,109
sake,109
door,109
past,109
oft,109
hor,109
lafeu,109
counsel,109
cardinal,108
doubt,108
note,108
wise,108
salisbury,108
lead,108
costard,108
marcius,108
open,108
content,107
coming,107
tender,107
maria,107
silvia,106
charles,106
mouth,106
malvolio,106
flesh,106
marcus,106
lucentio,106
self,106
wherein,106
lips,105
office,105
ajax,105
unless,105
paris,104
soon,104
norfolk,104
wherefore,104
morning,104
romeo,104
bassanio,104
somerset,104
worse,104
shes,104
action,103
youll,103
haste,103
withal,103
pay,103
valiant,103
deeds,102
cymbeline,102
letters,102
gentlemen,102
city,102
oath,102
knave,101
report,101
roman,101
clifford,101
captain,101
masters,101
souls,101
deny,101
met,100
just,100
macduff,100
speech,100
lordship,100
straight,100
earl,99
grow,99
battle,99
camillo,99
evans,99
lovd,99
often,98
yield,98
ulysses,98
guard,98
katherina,98
edg,98
shylock,98
uncle,97
sing,97
hortensio,97
katharine,97
provost,97
hundred,97
town,97
baptista,97
living,97
got,96
speaks,96
brave,96
cominius,96
enemies,96
bad,96
arm,96
cloten,96
spirits,96
sense,95
chamber,95
chief,95
v,95
william,95
want,95
write,95
silence,95
wolsey,95
methinks,94
caius,94
suit,94
hostess,94
glad,94
sworn,94
sport,94
white,94
fell,94
witness,94
five,94
poins,94
moon,93
marriage,93
attend,93
boyet,93
conscience,93
castle,93
moth,93
wonder,93
cap,93
wouldst,93
hero,93
morrow,93
anon,92
fie,92
fetch,92
whole,92
bold,92
presence,92
aguecheek,92
simple,92
appear,91
fools,91
slave,91
loss,91
iachimo,91
form,90
shepherd,90
woe,90
adriana,90
sovereign,90
traitor,90
noise,90
rage,90
win,90
warrant,89
heir,89
escalus,89
walk,89
lest,89
march,89
pride,88
touch,88
cade,88
heads,88
longer,88
murderer,88
strength,88
whilst,87
passion,87
bottom,87
seems,87
lysander,87
senator,87
died,87
shows,87
parts,86
tale,86
pol,86
fast,86
princes,86
bianca,86
rosaline,86
pisanio,86
ladies,86
saint,85
killd,85
soft,85
twere,85
dream,85
vile,85
aufidius,85
1,85
pluck,85
toward,84
feast,84
gratiano,84
